,user_id,game_name,raw_ratings
295,7907686,Cities Skylines,34.79988460586392
296,8259307,Cities Skylines,7.326291495971352
297,8585433,Cities Skylines,21.164842099472793
298,9128105,Cities Skylines,52.91210524868198
299,9823354,Cities Skylines,2.8491133595444142
300,10253354,Cities Skylines,29.91569027521635
301,11373749,Cities Skylines,11.59996153528797
302,14465359,Cities Skylines,42.73670039316622
303,20704366,Cities Skylines,59.01734816199144
304,23672423,Cities Skylines,52.91210524868198
305,23717586,Cities Skylines,2.645605262434099
307,24469287,Cities Skylines,4.477178136426938
308,27262175,Cities Skylines,15.466615380383962
309,27403206,Cities Skylines,41.31214371339401
310,29873979,Cities Skylines,2.0350809711031532
311,31187179,Cities Skylines,13.43153440928081
312,31669242,Cities Skylines,48.84194330647567
313,33622085,Cities Skylines,28.084117401223516
314,34901647,Cities Skylines,31.340246954988555
315,34919318,Cities Skylines,36.631457479856756
316,39319649,Cities Skylines,4.273670039316621
317,39622853,Cities Skylines,18.926253031259325
318,42005897,Cities Skylines,54.94718621978514
319,45974860,Cities Skylines,87.50848175743559
320,46028967,Cities Skylines,30.322706469436984
323,48386574,Cities Skylines,46.80686233537252
324,49228258,Cities Skylines,5.0877024277578835
325,50744279,Cities Skylines,28.69464169255446
326,50769696,Cities Skylines,22.99641497346563
327,51557405,Cities Skylines,85.47340078633243
328,53875128,Cities Skylines,2.0350809711031532
329,54826284,Cities Skylines,20.75782590525216
331,63276972,Cities Skylines,81.40323884412614
334,65155942,Cities Skylines,2.645605262434099
336,66255019,Cities Skylines,5.6982267190888285
337,67694595,Cities Skylines,31.543755052098877
338,68719896,Cities Skylines,13.83855060350144
339,69009454,Cities Skylines,61.05242913309459
340,71510748,Cities Skylines,24.420971653237835
341,73495968,Cities Skylines,17.2981882543768
344,76296787,Cities Skylines,42.73670039316622
345,77818807,Cities Skylines,2.0350809711031532
346,77830706,Cities Skylines,46.80686233537252
347,77980915,Cities Skylines,73.26291495971351
348,80154824,Cities Skylines,10.98943724395703
349,82046939,Cities Skylines,29.712182178106037
350,83671083,Cities Skylines,10.98943724395703
352,86055705,Cities Skylines,19.333269225479953
353,86469479,Cities Skylines,44.77178136426937
354,88035166,Cities Skylines,15.059599186163332
355,91729217,Cities Skylines,15.873631574604595
