01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
Far Cry,far cry,3376,47376,58228,68467,51749,353,84,94,531,1727,4,2769,29,502,71,446
Batman Arkham City GOTY,batman: arkham city goty,11963,48604,82051,203401,73260,955,1178,185,2318,9076,5,8973,153,704,85,1625
Ironcast,ironcast,25100,29883,63140,104490,47700,11,3,2,16,46,0,409,3,50,59,14
Reversi,reversi,79099,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
The Jackbox Party Pack,the jackbox party pack,23290,12471,16477,29983,15886,16,5,3,24,185,0,686,9,138,72,36
Clockwork Tales Of Glass and Ink,clockwork tales: of glass and ink,18816,11341,12206,15084,13468,38,31,72,141,315,0,269,5,14,66,46
Spore,spore,8985,44329,106981,391580,77921,90,71,9,170,1065,1,1386,43,457,72,288
Midnight Mysteries 3 Devil on the Mississippi,midnight mysteries 3: devil on the mississippi,6004,11315,16819,29470,16003,6,4,6,16,48,0,160,4,7,63,4
Defense Grid The Awakening,defense grid: the awakening,2412,40422,104694,369845,78859,109,73,21,203,756,0,1950,16,443,78,146
Overlord II,overlord ii,6850,58409,74016,91150,71625,38,57,19,114,476,0,3540,39,315,70,82
Rochard,rochard,7908,19838,22406,38815,22092,109,90,14,213,635,1,2110,13,266,72,112
theHunter Primal,,,,,,,,,,,,,,,,,
