searchingName,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5
The Binding of Isaac,The Binding of Isaac,89.0,Adobe Flash Player,Shooter,Role-playing (RPG),Adventure,ghosts,robot,monsters,indie,blood,The Binding of Isaac,82.71956238926981,279.0,Action,Action,Comedy,Drama,
Max Payne 3,Max Payne,268.0,RAGE,Shooter,,,helicopter,neo noir,sandbox,blood,murder,Max Payne 3,82.4121024828161,796.0,Action,Action,Sandbox,,
Stronghold Kingdoms,Stronghold: Spin-off,0.0,,Real Time Strategy (RTS),Role-playing (RPG),Simulator,medieval,mmorpg,steam,online,real-time strategy,Stronghold Kingdoms,50.0,1.0,Action,Action,Open world,Warfare,
Ghost Pirates of Vooju Island,,2.0,,Adventure,,,ghosts,steam,multiple protagonists,point and click,digital distribution,Ghost Pirates of Vooju Island,50.0,1.0,,,,,
Euro Truck Simulator,Euro Truck Simulator,8.0,Prism3D,Racing,Simulator,Indie,trucks,management,simulation,truck simulator,car,Euro Truck Simulator,58.9665365859551,24.0,Non-fiction,,,,
GTR Evolution,RACE,1.0,isiMotor,Racing,Simulator,,burnout,racing,driving,racing simulator,simulator,GTR Evolution,0.0,0.0,,,,,
Far Cry,Far Cry,103.0,CryEngine,Shooter,,,,,,,,Far Cry,78.0640043901288,379.0,Action,Action,,,
Alone in the Dark,Alone in the Dark,17.0,Twilight,Shooter,Puzzle,Adventure,mystery,puzzle solving,detective,survival,tps,Alone in the Dark,57.7681428044049,65.0,Action,Action,Survival,,
DarkStar One,Darkstar One,5.0,,Simulator,,,space simulation,space combat,flight simulator,space trading,training,DarkStar One,80.0366579519313,9.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
East India Company,,0.0,,Real Time Strategy (RTS),Strategy,,4x,cannon,war,steam,tea,East India Company,50.0,3.0,Fantasy,Fantasy,"4X (explore, expand, exploit, and exterminate)",,
Wasteland 2,Wasteland,35.0,Unity,Role-playing (RPG),Strategy,Turn-based strategy (TBS),post-apocalyptic,stealth,survival,turn-based,kickstarter funded,Wasteland 2,70.6614038581845,66.0,Action,Action,Survival,,
Company of Heroes,Company of Heroes,71.0,Havok Physics,Real Time Strategy (RTS),Strategy,,world war 2 ( ww2 ),blood,1940s,construction,rts,Company of Heroes,85.6112786257145,163.0,Action,Action,Warfare,,
Mafia II,Mafia,287.0,The Illusion Engine,Shooter,Racing,Adventure,world war 2 ( ww2 ),exploration,sandbox,blood,stealth,Mafia II,81.6125856576991,849.0,Action,Action,Historical,Sandbox,
15 Days,,0.0,Cougar Adventure Engine,Point-and-click,Adventure,Indie,island,police,london,africa,political activists,15 Days,50.0,3.0,Thriller,Thriller,Comedy,Mystery,
Rayman Origins,Rayman,117.0,UbiArt Framework,Platform,Adventure,,robot,side scroller,shoot 'em up,fantasy,comedy,Rayman Origins,82.68561488788279,294.0,Action,Action,Comedy,,
Tropico 5,Tropico,49.0,,Role-playing (RPG),Simulator,Strategy,modern warfare,pirates,cold war,world war 2 ( ww2 ),world war 1 ( ww1 ),Tropico 5,73.720514222483,80.0,Historical,Historical,Sandbox,,
LEGO The Lord of the Rings,Lego Lord of the Rings,48.0,,Adventure,,,orcs,immortality,sword,fantasy,comedy,LEGO The Lord of the Rings,74.4393949457135,129.0,Action,Action,,,
Alter Ego,Alter Ego,0.0,,Platform,Puzzle,Adventure,indie,homebrew,libretro,retroachievements,,Alter Ego,0.0,0.0,Action,,,,
Call of Juarez,Call Of Juarez,39.0,Chrome Engine,Shooter,,,,,,,,Call of Juarez,74.3594232663637,120.0,Action,,,,
Alan Wake,Alan Wake,271.0,The Alan Wake Engine,Shooter,Adventure,,blood,murder,story driven,shooter,action-adventure,Alan Wake,81.6887032618676,666.0,Action,Action,Thriller,,
Wildlife Park 3,Wildlife Park,0.0,,Simulator,Strategy,Indie,simulation,giraffe,strategy,bears,elephants,Wildlife Park 3,50.0,1.0,,,,,
Ridge Racer Unbounded,Ridge Racer,5.0,,Racing,Simulator,Arcade,destruction,arcade game,steam,achievements,car,Ridge Racer Unbounded,67.9719376999118,17.0,Action,,,,
Majesty 2 Collection,,3.0,,Simulator,Strategy,,base building,,,,,Majesty 2 Collection,51.9289241553614,5.0,Fantasy,Fantasy,,,
Ski Region Simulator,,0.0,,Simulator,,,,,,,,Ski Region Simulator,60.0,0.0,,,,,
Hospital Tycoon,,1.0,,Simulator,Strategy,,comedy,tycoon,doctor,management,simulation,Hospital Tycoon,40.0,2.0,Comedy,,,,
TERA,,28.0,Unreal Engine,Role-playing (RPG),Adventure,,medieval,arpg - action rpg,sword,fantasy,hack and slash,TERA,65.34072628726891,71.0,Action,Action,Historical,Sandbox,Open world
Tom Clancy's EndWar,,3.0,,Real Time Strategy (RTS),Strategy,Turn-based strategy (TBS),action game,ps3,tom clancy's endwar,tom clancy's endwar game,,Tom Clancy's EndWar,63.0715732776681,8.0,Action,,,,
Remember Me,,72.0,Unreal Engine,Platform,Adventure,,female hero ( heroine ),exploration,cyberpunk,stealth,health,Remember Me,72.8778005120043,205.0,Action,Action,Stealth,,
Bejeweled 3,Bejeweled,16.0,,Puzzle,Strategy,Adventure,casual,poker,sword,minigames,turn-based,Bejeweled 3,74.9982272171674,44.0,,,,,
Mortal Kombat X,Mortal Kombat,132.0,Unreal Engine,Fighting,,,martial arts,fighting,blood,ninja,sword,Mortal Kombat X,80.4193246897954,336.0,Action,,,,
Bejeweled Twist,Bejeweled,1.0,,Puzzle,Strategy,,jewel,steam,puzzle,digital distribution,block matching,Bejeweled Twist,73.6634934713748,6.0,,,,,
Legendary,,4.0,,Shooter,,,helicopter,blood,magic,fantasy,health,Legendary,57.3030826033651,22.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Half-Life,Half-Life,794.0,GoldSrc,Shooter,Puzzle,Adventure,aliens,assassin,blood,gravity,health,Half-Life,89.12460428639409,1896.0,Action,Action,Horror,Thriller,Warfare
Port Royale 2,Port Royale,5.0,,Simulator,Strategy,,pirates,managerial,simulation,steam,trading,Port Royale 2,71.1937862250642,11.0,Historical,Historical,,,
The Crew,The Crew,60.0,Babel engine,Racing,Adventure,,cars,racing,off road,street racing,driving,The Crew,66.1832403569532,110.0,Action,Action,,,
The Cursed Crusade,,0.0,,Adventure,,,medieval,action-adventure,achievements,sword & sorcery,adventure game,The Cursed Crusade,59.9374999588709,7.0,Action,Action,,,
Demigod,,2.0,,Real Time Strategy (RTS),Role-playing (RPG),Strategy,moba,magic,fantasy,rts,fire,Demigod,78.95848840567939,7.0,Action,Action,Horror,,
Mirror's Edge,Mirror's Edge,257.0,Unreal Engine,Shooter,Platform,Adventure,cyberpunk,platformers,parkour,city running,first person shooter,Mirror's Edge,77.6774970885637,731.0,Action,,,,
Football Manager 2013,Football Manager,8.0,,Sport,Strategy,,soccer,football,,,,Football Manager 2013,89.22598146818001,33.0,,,,,
DC Universe Online,DC Universe,17.0,Unreal Engine,Fighting,Role-playing (RPG),Adventure,super hero,amazon,health,pvp,ps4,DC Universe Online,65.72038263798109,41.0,Action,Action,Open world,,
Football Manager 2016,Football Manager,3.0,,Simulator,Sport,Strategy,soccer,football,management,simulation,steam,Football Manager 2016,85.4145719630499,25.0,,,,,
Trine,Trine,88.0,Nvidia PhysX,Platform,Puzzle,Adventure,wizards,sword,physics,fantasy,2.5d,Trine,77.0391467130197,229.0,Action,Action,,,
Portal 2,Portal,971.0,Source,Shooter,Platform,Puzzle,comedy,first person shooter,robots,elves,role playing,Portal 2,91.6902165418297,2754.0,Action,Action,Comedy,,
Company of Heroes 2,Company of Heroes,35.0,Essence Engine,Real Time Strategy (RTS),Simulator,Strategy,world war 2 ( ww2 ),death,military,fire,war,Company of Heroes 2,79.9278465882602,75.0,Warfare,,,,
The Longest Journey,The Longest Journey,61.0,,Point-and-click,Adventure,,cyberpunk,time travel,puzzle solving,immortality,detective,The Longest Journey,83.52195463427609,153.0,Action,Action,Science fiction,Mystery,
The Darkness II,The Darkness,77.0,Evolution Engine,Shooter,,,helicopter,world war 1 ( ww1 ),blood,murder,fantasy,The Darkness II,76.9039687249728,173.0,Action,Action,Survival,,
World of Goo,,83.0,,Puzzle,Simulator,Strategy,casual,indie,gravity,touch,physics,World of Goo,80.0488311977437,240.0,Comedy,Comedy,,,
Football Manager 2011,Football Manager,5.0,,Simulator,Sport,Strategy,soccer,management,simulation,steam,sports,Football Manager 2011,89.0332375463644,28.0,Non-fiction,,,,
Breach,Breach,0.0,,Strategy,Tactical,,turn-based,sci-fi,space marine,strategy,,Breach,0.0,0.0,Action,Action,Warfare,,
Darkspore,Spore,2.0,,Role-playing (RPG),,,aliens,evolution,blood,health,hack and slash,Darkspore,0.0,0.0,Action,Action,,,
Football Manager 2015,Football Manager,18.0,,Simulator,Sport,Strategy,soccer,football,management,simulation,steam,Football Manager 2015,81.82390160818119,39.0,,,,,
Dead Rising 2,Dead Rising,62.0,,Hack and slash/Beat 'em up,Adventure,,zombies,chainsaw,sandbox,blood,health,Dead Rising 2,72.9953251309079,170.0,Action,Action,Survival,Comedy,Sandbox
