     ,01_game_name                                                                      ,02_hltb_name                                                                       ,03_hltb_id ,04_time_main ,05_time_plus ,06_time_100 ,07_time_allstyle ,08_count_main ,09_count_plus ,10_count_100 ,11_count_allstyle ,12_count_completed ,13_count_speedrun ,14_count_backlog ,15_count_playing ,16_count_retired ,17_review_score ,18_count_review ,collection                                        ,follows ,game_engines                   ,genre1                     ,genre2                     ,genre3                     ,keywords1                    ,keywords2                          ,keywords3                     ,keywords4                         ,keywords5                                             ,name                                                       ,rating            ,rating_count ,themes1                                          ,themes2         ,themes3                                          ,themes4                                          ,themes5
1404 ,FarSky                                                                            ,farsky                                                                             ,     18084 ,       12185 ,       15795 ,      22956 ,           13201 ,           21 ,           12 ,           1 ,               34 ,               101 ,                1 ,             337 ,               4 ,              45 ,             64 ,             16 ,                                                  ,    1.0 ,                               ,Adventure                  ,Indie                      ,                           ,robot                        ,blood                              ,underwater                    ,minigames                         ,health                                                ,FarSky                                                     ,67.7842543286614  ,         7.0 ,Survival                                         ,Survival        ,                                                 ,                                                 ,
1405 ,Guild Wars                                                                        ,guild wars: prophecies                                                             ,      4158 ,      305521 ,      488536 ,    1273788 ,          534740 ,           15 ,           11 ,           3 ,               29 ,               180 ,                0 ,             257 ,               7 ,             197 ,             78 ,             55 ,Guild Wars                                        ,   24.0 ,ArenaNet Guild Wars            ,Role-playing (RPG)         ,Strategy                   ,Adventure                  ,post-apocalyptic             ,medieval                           ,magic                         ,sword                             ,grinding                                              ,Guild Wars                                                 ,80.76943630054251 ,        79.0 ,Action                                           ,Action          ,Historical                                       ,                                                 ,
1406 ,AKIBA'S TRIP Undead & Undressed                                                   ,akiba's trip: undead & undressed                                                   ,     20589 ,       31651 ,       56494 ,     124179 ,           56977 ,           77 ,           81 ,          42 ,              200 ,               380 ,               11 ,             656 ,              12 ,              57 ,             69 ,            116 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1407 ,iBomber Defense                                                                   ,ibomber defense                                                                    ,      4590 ,       21823 ,       38325 ,      93600 ,           32344 ,            7 ,            4 ,           1 ,               12 ,                42 ,                0 ,             152 ,               1 ,              24 ,             58 ,              9 ,iBomber                                           ,    0.0 ,                               ,Real Time Strategy (RTS)   ,Strategy                   ,Indie                      ,tower defense                ,casual                             ,real-time strategy            ,steam achievements                ,steam cloud                                           ,iBomber Defense                                            ,60.0              ,         1.0 ,                                                 ,                ,                                                 ,                                                 ,
1408 ,Trine 3 The Artifacts of Power                                                    ,trine 3: the artifacts of power                                                    ,     29029 ,       17603 ,       22022 ,      24771 ,           22100 ,           64 ,           78 ,         124 ,              266 ,               768 ,                0 ,            2256 ,              29 ,             142 ,             65 ,            192 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1409 ,PT Boats Knights of the Sea                                                       ,pt boats: knights of the sea                                                       ,     44492 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 2 ,                0 ,               3 ,               0 ,               0 ,              0 ,              0 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1410 ,Sniper Elite 3                                                                    ,sniper elite iii                                                                   ,     19547 ,       32588 ,       51987 ,     110075 ,           41392 ,          231 ,          166 ,          23 ,              420 ,              1255 ,                1 ,            2886 ,              49 ,             292 ,             70 ,            303 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1411 ,Jamestown                                                                         ,jamestown: legend of the lost colony                                               ,      4812 ,        9375 ,       15643 ,      31501 ,           11797 ,          129 ,           68 ,           4 ,              201 ,               824 ,                1 ,            2488 ,              18 ,             551 ,             77 ,            160 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1412 ,FINAL FANTASY VII                                                                 ,final fantasy vii                                                                  ,      3521 ,      131398 ,      181519 ,     296908 ,          176153 ,         1048 ,         1313 ,         544 ,             2905 ,              6455 ,               14 ,            7798 ,             125 ,             551 ,             89 ,           2146 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1413 ,Assassins Creed Unity                                                             ,assassin's creed: unity                                                            ,     21269 ,       61676 ,      125080 ,     283988 ,          111304 ,          596 ,          757 ,         220 ,             1573 ,              4080 ,                2 ,            4224 ,              70 ,             360 ,             69 ,           1307 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1414 ,Rooms The Unsolvable Puzzle                                                       ,rooms: the unsolvable puzzle                                                       ,     26191 ,           0 ,       44640 ,          0 ,           44640 ,            0 ,            1 ,           0 ,                1 ,                 4 ,                0 ,              16 ,               1 ,               2 ,             90 ,              1 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1415 ,Galactic Civilizations I Ultimate Edition                                         ,galactic civilizations i: ultimate edition                                         ,     27860 ,       40440 ,           0 ,          0 ,           40440 ,            2 ,            0 ,           0 ,                2 ,                39 ,                0 ,            1151 ,              11 ,             144 ,             40 ,              3 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1416 ,Orcs Must Die! 2                                                                  ,orcs must die! 2                                                                   ,      6796 ,       27933 ,       72560 ,     147948 ,           52674 ,          135 ,           98 ,          37 ,              270 ,              1429 ,                1 ,            3869 ,              45 ,             725 ,             76 ,            232 ,Orcs Must Die                                     ,   23.0 ,Vision                         ,Shooter                    ,Platform                   ,Strategy                   ,tower defense                ,orcs                               ,magic                         ,fantasy                           ,online co-op                                          ,Orcs Must Die! 2                                           ,74.2512871367819  ,        75.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1417 ,Arma 2 DayZ Mod                                                                   ,arma 2: dayz mod                                                                   ,     27317 ,       88200 ,           0 ,          0 ,           88200 ,            2 ,            0 ,           0 ,                2 ,                82 ,                0 ,             868 ,              22 ,             727 ,             61 ,             16 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1418 ,Pixel Piracy                                                                      ,pixel piracy                                                                       ,     16846 ,       27094 ,       61723 ,     100166 ,           63250 ,            8 ,            3 ,           7 ,               18 ,               117 ,                0 ,            1666 ,              17 ,             340 ,             55 ,             14 ,                                                  ,    2.0 ,Unity                          ,Platform                   ,Role-playing (RPG)         ,Simulator                  ,pirates                      ,ship simulator                     ,indie                         ,sandbox                           ,sword                                                 ,Pixel Piracy                                               ,79.0325425144403  ,        10.0 ,Action                                           ,Action          ,Open world                                       ,                                                 ,
1419 ,Sid Meier's Civilization Beyond Earth                                             ,sid meier's civilization: beyond earth                                             ,     21390 ,       56275 ,      173765 ,     265011 ,          112742 ,           36 ,           23 ,           7 ,               66 ,               435 ,                0 ,            1406 ,              19 ,             460 ,             66 ,             92 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1420 ,Rocket League                                                                     ,rocket league                                                                      ,     27113 ,       16460 ,       80268 ,     220761 ,          104893 ,          134 ,           85 ,         137 ,              356 ,              2129 ,                0 ,            3475 ,             162 ,            1720 ,             79 ,            993 ,Supersonic Acrobatic Rocket-Powered Battle-Cars   ,  291.0 ,Unreal Engine                  ,Sport                      ,Indie                      ,                           ,vehicular combat             ,soccer                             ,football                      ,basketball                        ,cyberpunk                                             ,Rocket League                                              ,82.7804362649961  ,       772.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1421 ,Zeno Clash                                                                        ,zeno clash                                                                         ,     11546 ,       13779 ,       18467 ,      32052 ,           15144 ,          281 ,           69 ,          25 ,              375 ,              1045 ,                0 ,            1919 ,              16 ,             269 ,             68 ,            213 ,Zeno Clash                                        ,   11.0 ,                               ,Fighting                   ,Shooter                    ,Hack and slash/Beat 'em up ,martial arts                 ,indie                              ,blood                         ,fantasy                           ,health                                                ,Zeno Clash                                                 ,74.7125135139702  ,        41.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1422 ,GemCraft - Chasing Shadows                                                        ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,    1.0 ,                               ,Strategy                   ,Indie                      ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,GemCraft - Chasing Shadows                                 ,70.5589928858935  ,         5.0 ,Action                                           ,                ,                                                 ,                                                 ,
1423 ,Gravity Badgers                                                                   ,gravity badgers                                                                    ,     15438 ,       10770 ,       13320 ,      38298 ,           23241 ,            4 ,            1 ,           5 ,               10 ,                31 ,                0 ,             290 ,               3 ,              41 ,             38 ,              6 ,                                                  ,    0.0 ,                               ,Puzzle                     ,Strategy                   ,Indie                      ,indie                        ,desura                             ,steam                         ,steam trading cards               ,steam achievements                                    ,Gravity Badgers                                            ,50.0              ,         1.0 ,Action                                           ,                ,                                                 ,                                                 ,
1424 ,Neverwinter                                                                       ,neverwinter                                                                        ,      6514 ,      182714 ,      306535 ,     953444 ,          352969 ,           12 ,            6 ,           3 ,               21 ,               164 ,                0 ,            1215 ,              54 ,             850 ,             63 ,             49 ,                                                  ,   21.0 ,                               ,Role-playing (RPG)         ,Adventure                  ,                           ,dinosaurs                    ,wizards                            ,sword                         ,fantasy                           ,dragons                                               ,Neverwinter                                                ,64.8401950171743  ,        53.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1425 ,Sam & Max 202 Moai Better Blues                                                   ,sam & max 202: moai better blues                                                   ,      8102 ,        7985 ,        8101 ,       9976 ,            8598 ,           39 ,           11 ,          21 ,               71 ,               338 ,                1 ,            1115 ,               7 ,              86 ,             69 ,             43 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1426 ,Zombie Army Trilogy                                                               ,zombie army trilogy                                                                ,     24608 ,       49618 ,       70539 ,     107112 ,           56041 ,           65 ,           23 ,           4 ,               92 ,               322 ,                0 ,            1693 ,              46 ,             165 ,             64 ,             77 ,Sniper Elite                                      ,   11.0 ,Asura engine                   ,Shooter                    ,Tactical                   ,Adventure                  ,world war 2 ( ww2 )          ,tactical shooter                   ,compilation                   ,online co-op                      ,shooter                                               ,Zombie Army Trilogy                                        ,62.67521305201669 ,        20.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1427 ,Teddy Floppy Ear - Mountain Adventure                                             ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1428 ,DarkStar One                                                                      ,darkstar one                                                                       ,      2255 ,       79566 ,       84708 ,      90284 ,           87384 ,            1 ,           11 ,           9 ,               21 ,                60 ,                0 ,             368 ,               3 ,              67 ,             76 ,             13 ,Darkstar One                                      ,    5.0 ,                               ,Simulator                  ,                           ,                           ,space simulation             ,space combat                       ,flight simulator              ,space trading                     ,training                                              ,DarkStar One                                               ,80.0366579519313  ,         9.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1429 ,Global Agenda                                                                     ,global agenda                                                                      ,      3951 ,      193500 ,      577050 ,          0 ,          418620 ,            1 ,            4 ,           0 ,                5 ,                36 ,                0 ,             138 ,               6 ,             153 ,             60 ,             11 ,                                                  ,    0.0 ,Unreal Engine 3                ,Shooter                    ,Role-playing (RPG)         ,                           ,vehicular combat             ,stealth                            ,mech                          ,arpg - action rpg                 ,sword                                                 ,Global Agenda                                              , 0.0              ,         0.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1430 ,Ghost in the Shell Stand Alone Complex First Assault Online                       ,ghost in the shell: stand alone complex - first assault online                     ,     33404 ,       64800 ,           0 ,          0 ,           64800 ,            1 ,            0 ,           0 ,                1 ,                61 ,                0 ,             450 ,              12 ,             311 ,             55 ,             20 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1431 ,Sins of a Solar Empire Trinity                                                    ,sins of a solar empire: trinity                                                    ,      8592 ,       32400 ,      288000 ,          0 ,          160200 ,            1 ,            1 ,           0 ,                2 ,                68 ,                0 ,             746 ,               6 ,             124 ,             73 ,              3 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1432 ,La Tale                                                                           ,la tale                                                                            ,     23259 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                10 ,                0 ,             166 ,               3 ,              73 ,              0 ,              0 ,                                                  ,    0.0 ,                               ,Role-playing (RPG)         ,Adventure                  ,                           ,anime                        ,blood                              ,stealth                       ,horse                             ,goat                                                  ,La Tale                                                    , 0.0              ,         0.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1433 ,Before the Echo                                                                   ,before the echo                                                                    ,      8308 ,       32780 ,       44214 ,      47267 ,           43603 ,           28 ,           34 ,          73 ,              135 ,               361 ,                0 ,            1212 ,               6 ,             194 ,             77 ,             66 ,                                                  ,    1.0 ,                               ,Music                      ,Role-playing (RPG)         ,Indie                      ,anime                        ,indie                              ,fantasy                       ,comedy                            ,kickstarter funded                                    ,Before the Echo                                            ,80.9870223742287  ,         6.0 ,Comedy                                           ,                ,                                                 ,                                                 ,
1434 ,Mini Ninjas                                                                       ,mini ninjas                                                                        ,      6074 ,       28769 ,       39953 ,      56438 ,           34514 ,           72 ,           44 ,          20 ,              136 ,               379 ,                1 ,            2008 ,              27 ,             214 ,             70 ,            111 ,Mini Ninjas                                       ,   12.0 ,Glacier                        ,Platform                   ,Adventure                  ,                           ,ghosts                       ,martial arts                       ,asian style                   ,stealth                           ,ninja                                                 ,Mini Ninjas                                                ,77.7814966007251  ,        38.0 ,Action                                           ,Action          ,Open world                                       ,                                                 ,
1435 ,Sleeping Dogs Definitive Edition                                                  ,sleeping dogs: definitive edition                                                  ,     23651 ,       51861 ,       85661 ,     147193 ,           86569 ,          430 ,          698 ,         328 ,             1456 ,              3359 ,                1 ,            5238 ,              92 ,             282 ,             79 ,            902 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1436 ,Blood Bowl Dark Elves Edition                                                     ,blood bowl                                                                         ,      1179 ,       12000 ,      225000 ,     700910 ,          306773 ,            3 ,            3 ,           2 ,                8 ,                65 ,                0 ,            1371 ,              11 ,             406 ,             64 ,             12 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1437 ,Guacamelee! Gold Edition                                                          ,guacamelee!                                                                        ,      4145 ,       22219 ,       31328 ,      51358 ,           30361 ,          341 ,          362 ,         144 ,              847 ,              2471 ,                5 ,            4098 ,              36 ,             552 ,             81 ,            507 ,Guacamelee!                                       ,   10.0 ,                               ,Platform                   ,Hack and slash/Beat 'em up ,Adventure                  ,fantasy                      ,comedy                             ,brawler                       ,platformer                        ,                                                      ,Guacamelee! Gold Edition                                   ,89.5779919901932  ,        22.0 ,Action                                           ,Action          ,Comedy                                           ,                                                 ,
1438 ,Agarest Zero                                                                      ,record of agarest war zero                                                         ,      7670 ,      243177 ,      314372 ,     375319 ,          306778 ,            3 ,            4 ,           2 ,                9 ,                28 ,                0 ,             624 ,               8 ,              30 ,             57 ,              9 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1439 ,Evolve                                                                            ,evolve                                                                             ,     16639 ,       16540 ,       25448 ,     221460 ,           37652 ,           18 ,            8 ,           6 ,               32 ,               239 ,                0 ,             905 ,               2 ,             938 ,             55 ,             82 ,                                                  ,   35.0 ,                               ,Shooter                    ,                           ,                           ,aliens                       ,hunting                            ,monsters                      ,stealth                           ,fantasy                                               ,Evolve                                                     ,60.1249630124617  ,        74.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1440 ,Spectraball                                                                       ,spectraball                                                                        ,      8900 ,        7414 ,        8826 ,      13320 ,            8611 ,           14 ,            5 ,           4 ,               23 ,                59 ,                1 ,             174 ,               1 ,              27 ,             62 ,             13 ,Spectraball                                       ,    0.0 ,                               ,Platform                   ,Puzzle                     ,Indie                      ,indie                        ,steam                              ,achievements                  ,steam trading cards               ,platformer                                            ,Spectraball                                                ,60.0              ,         0.0 ,                                                 ,                ,                                                 ,                                                 ,
1441 ,Ravaged Zombie Apocalypse                                                         ,ravaged zombie apocalypse                                                          ,     13885 ,        8460 ,           0 ,          0 ,            8460 ,            1 ,            0 ,           0 ,                1 ,                 9 ,                0 ,             210 ,               1 ,              81 ,             30 ,              1 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1442 ,Nancy Drew The Deadly Device                                                      ,nancy drew: the deadly device                                                      ,     34851 ,       28200 ,       36000 ,      48150 ,           34125 ,            3 ,            1 ,           2 ,                6 ,                24 ,                0 ,              15 ,               0 ,               2 ,             68 ,              6 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1443 ,Spiral Knights                                                                    ,spiral knights                                                                     ,      8960 ,      186000 ,      421898 ,    3042840 ,          981189 ,            3 ,            4 ,           7 ,               14 ,                96 ,                0 ,             708 ,              25 ,             460 ,             61 ,             39 ,                                                  ,    3.0 ,                               ,Role-playing (RPG)         ,Hack and slash/Beat 'em up ,Adventure                  ,anime                        ,casual                             ,sword                         ,fantasy                           ,guild                                                 ,Spiral Knights                                             ,57.6870800468706  ,        15.0 ,Action                                           ,Action          ,Open world                                       ,                                                 ,
1444 ,Metal Planet                                                                      ,metal planet                                                                       ,     14923 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 4 ,                0 ,              81 ,               1 ,               9 ,              0 ,              0 ,                                                  ,    0.0 ,                               ,Shooter                    ,Indie                      ,                           ,indie                        ,health                             ,first person shooter          ,desura                            ,sci-fi                                                ,Metal Planet                                               , 0.0              ,         0.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
1445 ,Mystery P.I. The Lottery Ticket                                                   ,mystery p.i.: the lottery ticket                                                   ,      6322 ,       27900 ,       46800 ,      61440 ,           34225 ,            4 ,            1 ,           1 ,                6 ,                 7 ,                0 ,              33 ,               0 ,               6 ,              0 ,              0 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
1446 ,DUNGEONS - Steam Special Edition                                                  ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
