     ,01_game_name                                                                      ,02_hltb_name                                                                       ,03_hltb_id ,04_time_main ,05_time_plus ,06_time_100 ,07_time_allstyle ,08_count_main ,09_count_plus ,10_count_100 ,11_count_allstyle ,12_count_completed ,13_count_speedrun ,14_count_backlog ,15_count_playing ,16_count_retired ,17_review_score ,18_count_review ,collection                                        ,follows ,game_engines                   ,genre1                     ,genre2                     ,genre3                     ,keywords1                    ,keywords2                          ,keywords3                     ,keywords4                         ,keywords5                                             ,name                                                       ,rating            ,rating_count ,themes1                                          ,themes2         ,themes3                                          ,themes4                                          ,themes5
 151 ,Five Nights at Freddy's                                                           ,five nights at freddy's                                                            ,     20811 ,        8504 ,       11047 ,      19128 ,           10335 ,          100 ,           33 ,          28 ,              161 ,               668 ,                0 ,            1092 ,              20 ,             347 ,             67 ,            221 ,Five Nights at Freddy's                           ,    0.0 ,                               ,Simulator                  ,Strategy                   ,Adventure                  ,                             ,                                   ,                              ,                                  ,                                                      ,Five Nights at Freddy's                                    , 0.0              ,         0.0 ,Action                                           ,Action          ,Survival                                         ,                                                 ,
 152 ,Battlefield Bad Company 2                                                         ,battlefield: bad company 2                                                         ,       946 ,       24808 ,       36272 ,      57771 ,           27476 ,          592 ,          164 ,          44 ,              800 ,              3241 ,                3 ,            2068 ,              39 ,             733 ,             77 ,            845 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 153 ,Mad Max                                                                           ,mad max                                                                            ,     17610 ,       71384 ,      140557 ,     222948 ,          145080 ,          330 ,          865 ,         381 ,             1576 ,              3673 ,                0 ,            5683 ,             101 ,             627 ,             75 ,            981 ,Mad Max                                           ,    0.0 ,                               ,Puzzle                     ,Racing                     ,Adventure                  ,vehicular combat             ,post-apocalyptic                   ,health                        ,role playing                      ,water                                                 ,Mad Max                                                    , 0.0              ,         0.0 ,Action                                           ,                ,                                                 ,                                                 ,
 154 ,RPG Maker VX Ace                                                                  ,rpg maker vx ace                                                                   ,     14903 ,       73500 ,      941400 ,          0 ,          294075 ,            2 ,            2 ,           0 ,                4 ,                62 ,                0 ,             899 ,              22 ,             405 ,             69 ,              9 ,                                                  ,    1.0 ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,RPG Maker VX Ace                                           ,80.0              ,         4.0 ,                                                 ,                ,                                                 ,                                                 ,
 155 ,Monochroma                                                                        ,monochroma                                                                         ,     19013 ,       15103 ,       15865 ,      18288 ,           16470 ,           12 ,            6 ,          18 ,               36 ,                94 ,                0 ,             272 ,               3 ,              14 ,             62 ,             20 ,                                                  ,    4.0 ,Unity                          ,Platform                   ,Puzzle                     ,Adventure                  ,puzzles                      ,steam                              ,steam trading cards           ,abstract                          ,platformer                                            ,Monochroma                                                 ,60.8505841180116  ,        13.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
 156 ,FreeStyle2 Street Basketball                                                      ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 157 ,Stranded Deep                                                                     ,stranded deep                                                                      ,     24309 ,       59163 ,      124936 ,     238373 ,           98481 ,            7 ,            8 ,           2 ,               17 ,                86 ,                1 ,             959 ,              18 ,             161 ,             54 ,             34 ,                                                  ,   42.0 ,Unity                          ,Simulator                  ,Adventure                  ,Indie                      ,island                       ,survival                           ,shark                         ,crafting                          ,adventure                                             ,Stranded Deep                                              ,61.9368699651043  ,        30.0 ,Horror                                           ,Horror          ,                                                 ,                                                 ,
 158 ,Holy Potatoes! A Weapon Shop?!                                                    ,holy potatoes! a weapon shop?!                                                     ,     28063 ,       39139 ,       60462 ,      96061 ,           61772 ,           19 ,           14 ,          16 ,               49 ,               143 ,                0 ,             932 ,              12 ,             138 ,             61 ,             33 ,Holy Potatoes!                                    ,    5.0 ,                               ,Simulator                  ,Strategy                   ,Indie                      ,comedy                       ,management                         ,role playing                  ,simulation                        ,steam                                                 ,Holy Potatoes! A Weapon Shop?!                             ,69.8672873493079  ,         7.0 ,Fantasy                                          ,Fantasy         ,Business                                         ,                                                 ,
 159 ,iBomber Defense Pacific                                                           ,ibomber defense pacific                                                            ,      4591 ,       29890 ,       54601 ,      84276 ,           51458 ,            6 ,            3 ,           5 ,               14 ,                59 ,                0 ,             411 ,               6 ,             107 ,             63 ,              9 ,iBomber                                           ,    0.0 ,                               ,Real Time Strategy (RTS)   ,Strategy                   ,Indie                      ,world war 2 ( ww2 )          ,tower defense                      ,casual                        ,steam                             ,real-time strategy                                    ,iBomber Defense Pacific                                    ,62.2594351565045  ,         5.0 ,                                                 ,                ,                                                 ,                                                 ,
 160 ,Football Superstars                                                               ,football superstars                                                                ,     28189 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 1 ,                0 ,              28 ,               2 ,              21 ,              0 ,              0 ,                                                  ,    0.0 ,                               ,Sport                      ,                           ,                           ,soccer                       ,football                           ,management                    ,steam                             ,sports                                                ,Football Superstars                                        , 0.0              ,         0.0 ,                                                 ,                ,                                                 ,                                                 ,
 161 ,Halo Spartan Assault                                                              ,halo: spartan assault                                                              ,      4272 ,       14714 ,       19034 ,      55290 ,           16162 ,          133 ,           35 ,           7 ,              175 ,               510 ,                0 ,            1297 ,              23 ,             139 ,             58 ,            142 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 162 ,Influent                                                                          ,influent                                                                           ,     22159 ,       18450 ,       28400 ,      39802 ,           31933 ,            4 ,            3 ,           7 ,               14 ,                53 ,                0 ,             720 ,              20 ,             114 ,             53 ,              9 ,                                                  ,    0.0 ,                               ,Simulator                  ,Strategy                   ,Indie                      ,indie                        ,guitar                             ,educational                   ,keyboard                          ,simulation                                            ,Influent                                                   ,58.6294724075197  ,         6.0 ,Educational                                      ,                ,                                                 ,                                                 ,
