,user_id,game_name, time_is_play,searchingName,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
25,184314651,The Talos Principle,1.4,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
26,187463594,The Talos Principle,1.2,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
27,203387556,The Talos Principle,40.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
28,225289523,The Talos Principle,86.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
29,5976642,Enclave,1.0,Enclave,,17.0,Starbreeze Engine,Role-playing (RPG),Hack and slash/Beat 'em up,,assassin,orcs,wizards,medieval,arpg - action rpg,Enclave,76.9384605372928,41.0,Action,Action,Historical,,,enclave,3114,29963,43617,59014,38585,31,16,8,55,205,0,1780,33,301,64,42,9191,XB,2002.0,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
30,11403772,Enclave,1.9,Enclave,,17.0,Starbreeze Engine,Role-playing (RPG),Hack and slash/Beat 'em up,,assassin,orcs,wizards,medieval,arpg - action rpg,Enclave,76.9384605372928,41.0,Action,Action,Historical,,,enclave,3114,29963,43617,59014,38585,31,16,8,55,205,0,1780,33,301,64,42,9191,XB,2002.0,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
31,17530772,Enclave,1.0,Enclave,,17.0,Starbreeze Engine,Role-playing (RPG),Hack and slash/Beat 'em up,,assassin,orcs,wizards,medieval,arpg - action rpg,Enclave,76.9384605372928,41.0,Action,Action,Historical,,,enclave,3114,29963,43617,59014,38585,31,16,8,55,205,0,1780,33,301,64,42,9191,XB,2002.0,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
32,24721232,Enclave,1.0,Enclave,,17.0,Starbreeze Engine,Role-playing (RPG),Hack and slash/Beat 'em up,,assassin,orcs,wizards,medieval,arpg - action rpg,Enclave,76.9384605372928,41.0,Action,Action,Historical,,,enclave,3114,29963,43617,59014,38585,31,16,8,55,205,0,1780,33,301,64,42,9191,XB,2002.0,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
33,29753085,Enclave,1.0,Enclave,,17.0,Starbreeze Engine,Role-playing (RPG),Hack and slash/Beat 'em up,,assassin,orcs,wizards,medieval,arpg - action rpg,Enclave,76.9384605372928,41.0,Action,Action,Historical,,,enclave,3114,29963,43617,59014,38585,31,16,8,55,205,0,1780,33,301,64,42,9191,XB,2002.0,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
34,30061970,Enclave,1.0,Enclave,,17.0,Starbreeze Engine,Role-playing (RPG),Hack and slash/Beat 'em up,,assassin,orcs,wizards,medieval,arpg - action rpg,Enclave,76.9384605372928,41.0,Action,Action,Historical,,,enclave,3114,29963,43617,59014,38585,31,16,8,55,205,0,1780,33,301,64,42,9191,XB,2002.0,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
