,searchingName,collection,follows,franchise,game_engines,genre1,genre2,genre3,keywords1,keywords2,name,rating,rating_count,themes1,themes2,themes3
51,Jack Keane,1393.0,3.0,,,12.0,31.0,,"id: 350
","id: 359
",Jack Keane,53.9378705240692,6.0,1.0,27.0,
52,Machinarium,0.0,116.0,,64.0,2.0,9.0,31.0,"id: 67
","id: 117
",Machinarium,82.6950152175335,289.0,17.0,18.0,
53,Spore,0.0,0.0,,,5.0,,,,,Spore,0.0,0.0,1.0,,
54,15 Days,0.0,0.0,,319.0,2.0,31.0,32.0,"id: 337
","id: 427
",15 Days,50.0,3.0,20.0,23.0,27.0
55,NBA 2K16,659.0,28.0,,,14.0,,,"id: 58
","id: 809
",NBA 2K16,76.5089892259239,55.0,32.0,,
56,Deponia,750.0,37.0,,347.0,2.0,31.0,32.0,"id: 67
","id: 203
",Deponia,76.4966972112218,133.0,18.0,27.0,
57,Demigod,0.0,2.0,,,11.0,12.0,15.0,"id: 148
","id: 226
",Demigod,78.95848840567939,7.0,1.0,17.0,19.0
58,Rocket League,4455.0,290.0,,6.0,14.0,32.0,,"id: 25
","id: 26
",Rocket League,82.7809783991672,771.0,1.0,18.0,
59,Dungeon Defenders,580.0,12.0,,,12.0,15.0,31.0,"id: 77
","id: 151
",Dungeon Defenders,71.1233730995964,46.0,1.0,22.0,
60,,,,,,,,,,,,,,,,
61,Stronghold Legends,5360.0,2.0,,,11.0,13.0,15.0,"id: 151
","id: 558
",Stronghold Legends,92.90549205221319,13.0,1.0,17.0,22.0
62,Rocksmith 2014,1942.0,14.0,,54.0,7.0,,,"id: 274
","id: 488
",Rocksmith 2014,87.5331963363385,31.0,34.0,,
63,Impossible Creatures,0.0,3.0,,,11.0,13.0,15.0,"id: 328
","id: 623
",Impossible Creatures,76.7235549503348,16.0,17.0,18.0,22.0
64,Mafia II,562.0,286.0,,485.0,5.0,10.0,31.0,"id: 19
","id: 72
",Mafia II,81.61205176433951,846.0,1.0,17.0,22.0
