,searchingName,collection,follows,franchise,game_engines,genre1,genre2,genre3,keywords1,keywords2,name,rating,rating_count,themes1,themes2,themes3
206,Sengoku,0.0,0.0,,296.0,11.0,12.0,13.0,"id: 151
","id: 164
",Sengoku,50.0,4.0,22.0,39.0,
207,Blitzkrieg 2 Anthology,0.0,1.0,,,15.0,,,,,Blitzkrieg 2 Anthology,80.0,0.0,,,
208,Sid Meier's Civilization IV,89.0,89.0,"id: 10
",54.0,13.0,15.0,16.0,"id: 221
","id: 257
",Sid Meier's Civilization IV,86.2344236621275,221.0,17.0,22.0,34.0
209,Titan Quest,0.0,0.0,,,12.0,,,,,Titan Quest,0.0,0.0,1.0,,
210,World of Goo,0.0,83.0,,,9.0,13.0,15.0,"id: 101
","id: 117
",World of Goo,80.0498749401845,238.0,27.0,33.0,
211,Unreal Tournament 2004,156.0,63.0,,,5.0,,,"id: 3
","id: 67
",Unreal Tournament 2004,83.07203913156141,163.0,1.0,18.0,
212,Assassin's Creed Syndicate,18.0,240.0,,10.0,31.0,,,"id: 22
","id: 221
",Assassin's Creed Syndicate,74.6515909074112,540.0,1.0,17.0,18.0
213,Monopoly,0.0,0.0,,,35.0,,,,,Monopoly,0.0,0.0,,,
214,World in Conflict,220.0,12.0,,192.0,11.0,15.0,,"id: 1
",,World in Conflict,80.3976112628807,40.0,,,
215,Gothic 3,463.0,45.0,,42.0,12.0,31.0,,"id: 87
","id: 96
",Gothic 3,77.8629009014546,162.0,1.0,17.0,33.0
216,EVE Online,288.0,28.0,,,12.0,13.0,15.0,"id: 23
","id: 103
",EVE Online,77.1434799363165,47.0,1.0,18.0,
217,Lost Planet 3,356.0,16.0,,6.0,5.0,,,"id: 152
","id: 167
",Lost Planet 3,69.4456896199903,27.0,1.0,18.0,
218,Trine,887.0,88.0,,465.0,8.0,9.0,31.0,"id: 147
","id: 227
",Trine,77.0391467130197,229.0,1.0,17.0,
219,LEGO Jurassic World,3239.0,23.0,,,9.0,31.0,,"id: 57
","id: 87
",LEGO Jurassic World,77.110278339816,53.0,1.0,18.0,
220,Football Manager 2012,202.0,11.0,,,13.0,14.0,15.0,"id: 26
","id: 27
",Football Manager 2012,92.9146350194732,37.0,,,
221,Torchlight,292.0,56.0,,173.0,12.0,25.0,,"id: 129
","id: 151
",Torchlight,74.22825480675189,188.0,1.0,17.0,22.0
222,,,,,,,,,,,,,,,,
223,Pro Evolution Soccer 2013,195.0,0.0,,,14.0,,,,,Pro Evolution Soccer 2013,0.0,0.0,,,
224,TERA,0.0,28.0,,6.0,12.0,31.0,,"id: 151
","id: 174
",TERA,65.34072628726891,71.0,1.0,17.0,22.0
225,Darksiders II,280.0,82.0,,225.0,12.0,25.0,31.0,"id: 296
","id: 1033
",Darksiders II,76.5169207998313,220.0,1.0,17.0,38.0
226,Mini Ninjas,2245.0,12.0,,119.0,8.0,31.0,,"id: 16
","id: 61
",Mini Ninjas,78.8071876006275,37.0,1.0,23.0,38.0
227,Off-Road Drive,0.0,0.0,,,10.0,13.0,,"id: 1783
","id: 1846
",Off-Road Drive,50.0,1.0,1.0,,
228,Far Cry 4,103.0,323.0,,118.0,5.0,24.0,31.0,"id: 21
","id: 64
",Far Cry 4,75.9157446299692,779.0,1.0,22.0,33.0
229,Ship Simulator Extremes,581.0,6.0,,,13.0,31.0,,"id: 1098
","id: 1148
",Ship Simulator Extremes,56.6666666666667,3.0,33.0,34.0,38.0
230,F1 Race Stars,3362.0,2.0,,99.0,10.0,33.0,,"id: 25
","id: 620
",F1 Race Stars,58.9671006016485,12.0,1.0,,
231,Front Mission Evolved,312.0,5.0,,,5.0,13.0,,"id: 25
","id: 67
",Front Mission Evolved,65.5740922980245,9.0,1.0,18.0,39.0
232,Just Cause 2,111.0,118.0,,17.0,5.0,10.0,31.0,"id: 1
","id: 21
",Just Cause 2,78.111743585359,345.0,1.0,33.0,38.0
233,Anno 2205,158.0,31.0,,,11.0,13.0,15.0,"id: 70
","id: 649
",Anno 2205,75.7083545415577,44.0,18.0,41.0,
234,Still Life 2,1081.0,8.0,,,9.0,31.0,,"id: 140
","id: 197
",Still Life 2,54.8680348120157,22.0,19.0,31.0,43.0
235,Braid,0.0,191.0,,,8.0,9.0,15.0,"id: 117
","id: 170
",Braid,85.428729582491,491.0,17.0,,
236,Dead Space,0.0,1.0,,491.0,5.0,31.0,,,,Dead Space,0.0,0.0,1.0,19.0,
237,Remember Me,0.0,72.0,,6.0,8.0,31.0,,"id: 46
","id: 72
",Remember Me,72.8764242177418,203.0,1.0,18.0,23.0
238,Football Manager 2013,202.0,8.0,,,14.0,15.0,,"id: 26
","id: 27
",Football Manager 2013,89.22598146818001,33.0,,,
239,The Darkness II,293.0,77.0,,416.0,5.0,,,"id: 21
","id: 29
",The Darkness II,76.93672004098259,172.0,1.0,19.0,21.0
240,,,,,,,,,,,,,,,,
241,4 Elements,3777.0,0.0,,,9.0,31.0,,"id: 101
","id: 296
",4 Elements,80.0,2.0,17.0,,
242,Order of War,0.0,2.0,,,11.0,15.0,,"id: 19
","id: 1107
",Order of War,51.6525679375936,5.0,39.0,,
243,Lost Planet 2,356.0,11.0,,14.0,5.0,31.0,,"id: 98
","id: 970
",Lost Planet 2,67.9616175869877,38.0,1.0,18.0,
244,Terraria,555.0,168.0,,,8.0,12.0,15.0,"id: 72
","id: 117
",Terraria,81.19705502504401,568.0,1.0,17.0,18.0
245,Trine 2,887.0,82.0,,,8.0,9.0,31.0,"id: 287
","id: 966
",Trine 2,77.2203328628128,220.0,1.0,17.0,
246,Hearts of Iron III,174.0,8.0,,,11.0,15.0,,"id: 1
","id: 8
",Hearts of Iron III,89.3303781070205,24.0,22.0,,
247,Lara Croft and the Temple of Osiris,0.0,35.0,"id: 279
",,5.0,9.0,31.0,"id: 301
","id: 594
",Lara Croft and the Temple of Osiris,70.241216129435,86.0,1.0,17.0,22.0
248,Football Manager 2010,202.0,6.0,,,13.0,14.0,15.0,"id: 26
","id: 994
",Football Manager 2010,82.66074536189811,23.0,32.0,,
249,Fallout 4,3.0,500.0,,95.0,5.0,12.0,,"id: 8
","id: 64
",Fallout 4,80.19779822195589,1153.0,1.0,18.0,21.0
250,Call of Duty 2,107.0,294.0,,123.0,5.0,,,"id: 2
","id: 19
",Call of Duty 2,84.1482166995997,759.0,1.0,22.0,39.0
251,Grand Theft Auto V,847.0,1784.0,,26.0,5.0,31.0,,"id: 3
","id: 11
",Grand Theft Auto V,90.2423178494461,3624.0,1.0,27.0,33.0
252,F1 2015,819.0,11.0,,99.0,10.0,13.0,14.0,"id: 484
","id: 620
",F1 2015,71.7611267932426,20.0,32.0,,
253,Wolfenstein,47.0,58.0,,48.0,5.0,,,"id: 19
","id: 129
",Wolfenstein,71.7453065363555,182.0,1.0,17.0,18.0
254,The Binding of Isaac,1051.0,89.0,,64.0,5.0,12.0,31.0,"id: 16
","id: 67
",The Binding of Isaac,82.7205555366416,277.0,1.0,19.0,27.0
255,Risen,482.0,50.0,,415.0,12.0,,,"id: 226
","id: 227
",Risen,78.2412832024781,123.0,1.0,17.0,38.0
256,BioShock,1.0,0.0,,,5.0,12.0,31.0,,,BioShock,0.0,0.0,1.0,18.0,19.0
257,Dead Space 2,4.0,253.0,,,5.0,31.0,,"id: 3
","id: 129
",Dead Space 2,86.6049151735788,726.0,1.0,18.0,19.0
258,Cities XL 2012,684.0,1.0,,,13.0,15.0,,"id: 60
","id: 994
",Cities XL 2012,0.0,0.0,,,
259,The Book of Unwritten Tales,1034.0,12.0,,,2.0,31.0,,"id: 67
","id: 96
",The Book of Unwritten Tales,81.004641065307,42.0,17.0,27.0,
260,Farming Simulator 2013,2793.0,1.0,,,13.0,15.0,,"id: 314
","id: 770
",Farming Simulator 2013,74.3610924707946,8.0,,,
261,Dead Island,349.0,126.0,,78.0,5.0,25.0,,"id: 5
","id: 69
",Dead Island,70.7852970758753,390.0,1.0,19.0,21.0
262,,,,,,,,,,,,,,,,
263,Max Payne 3,81.0,268.0,,26.0,5.0,,,"id: 21
","id: 85
",Max Payne 3,82.4123043972576,793.0,1.0,20.0,33.0
264,Sniper Elite,559.0,24.0,,,5.0,13.0,15.0,"id: 19
","id: 124
",Sniper Elite,69.7287208716559,56.0,1.0,17.0,22.0
265,Silent Hunter III,203.0,3.0,,,13.0,15.0,,"id: 19
","id: 49
",Silent Hunter III,70.32775702365899,10.0,1.0,22.0,39.0
266,Tropico 5,508.0,49.0,,,12.0,13.0,15.0,"id: 1
","id: 4
",Tropico 5,73.720514222483,80.0,22.0,27.0,33.0
267,The Inner World,1467.0,7.0,,,2.0,31.0,32.0,"id: 117
","id: 296
",The Inner World,72.5429840433464,22.0,17.0,27.0,35.0
268,Pro Evolution Soccer 2015,195.0,12.0,,29.0,13.0,14.0,,"id: 26
","id: 1166
",Pro Evolution Soccer 2015,70.7065837480314,59.0,,,
269,Portal 2,87.0,972.0,,3.0,5.0,8.0,9.0,"id: 350
","id: 453
",Portal 2,91.6897318150133,2745.0,1.0,18.0,27.0
270,The Longest Journey,365.0,61.0,,,2.0,31.0,,"id: 103
","id: 170
",The Longest Journey,83.4709461768721,152.0,1.0,17.0,18.0
271,Stormrise,0.0,2.0,,,11.0,15.0,,"id: 67
","id: 69
",Stormrise,39.7722755462312,5.0,18.0,,
272,Indigo Prophecy,0.0,112.0,,,31.0,,,"id: 21
","id: 58
",Indigo Prophecy,82.697080956048,308.0,20.0,31.0,
273,Mount & Blade,375.0,20.0,,,5.0,12.0,13.0,"id: 121
","id: 227
",Mount & Blade,71.9506894510761,91.0,1.0,33.0,
274,Mafia,0.0,0.0,,,15.0,24.0,,"id: 1986
","id: 3137
",Mafia,0.0,0.0,22.0,,
