01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
F1 2010,f1 2010,3305,111214,148110,238512,161600,8,5,2,15,80,1,111,2,59,73,25
Cities XL 2011,cities xl 2011,1720,0,137562,0,137562,0,5,0,5,18,0,119,4,74,70,5
Clockwork Empires,clockwork empires,30668,0,0,0,0,0,0,0,0,1,0,22,1,11,0,0
Torchlight,torchlight,10527,51316,77150,162796,68648,324,335,54,713,2669,0,4149,42,967,72,482
Mirror's Edge,mirror's edge,6085,22110,29304,41567,23953,1887,475,118,2480,8309,32,7509,83,1081,75,1996
Majesty 2 Collection,majesty 2 collection,5566,67330,73320,123690,87690,1,3,2,6,43,0,691,8,80,63,6
Sid Meier's Railroads!,sid meier's railroads!,8517,56600,0,0,56600,6,0,0,6,63,0,1153,15,203,66,8
GT Legends,gt legends,4140,60900,81750,0,74262,2,3,0,5,15,0,315,4,49,64,5
The Crew,the crew,19268,68113,146328,444167,122583,91,95,19,205,526,0,878,14,204,70,192
Saints Row IV,saints row iv,12650,54933,88779,130567,85972,445,867,284,1596,5924,6,5758,94,683,75,1096
The Evil Within,the evil within,9866,55750,71510,139223,63168,869,468,68,1405,2897,6,3786,71,308,75,926
Ship Simulator Extremes,ship simulator extremes,13591,0,0,0,0,0,0,0,0,7,0,232,0,59,0,0
Venetica,venetica,10911,70015,79504,104063,81364,13,29,13,55,106,0,415,2,22,65,41
Fallout 4,fallout 4,26729,97126,291547,570522,283838,643,1620,494,2757,7462,4,8620,192,1275,76,1897
Pro Evolution Soccer 2015,pro evolution soccer 2015,22529,176658,436050,670500,312080,7,4,4,15,73,0,45,1,48,75,23
Titan Quest,titan quest,10379,92862,128330,204626,123256,55,81,21,157,727,0,3213,35,910,74,145
Railroad Tycoon 3,railroad tycoon 3,7549,96765,108000,136800,109980,4,1,2,7,33,0,524,11,81,73,6
The 7th Guest,the 7th guest,9740,28501,28689,29778,28833,40,5,17,62,187,0,680,3,44,62,43
DC Universe Online,dc universe online,2292,285249,318630,954390,386116,10,2,3,15,70,0,285,13,154,64,48
