01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
Left 4 Dead 2,left 4 dead 2,5212,35348,89661,186510,58580,405,292,48,745,6460,4,7454,195,2804,80,1185
Prey,prey,44590,58340,100238,160730,97323,400,1530,219,2149,3911,1,5756,105,381,83,1276
DiRT,colin mcrae: dirt,1803,44537,53905,112978,54152,35,21,11,67,222,0,260,5,63,75,75
East India Company,east india company,3040,0,0,125220,125220,0,0,1,1,6,0,176,2,27,0,0
Clive Barker's Jericho,clive barker's jericho,1751,25692,32676,36756,28936,92,25,20,137,367,1,651,4,79,65,118
Pro Evolution Soccer 2013,pro evolution soccer 2013,7324,277870,416101,623097,364161,9,5,0,14,90,0,30,5,32,73,48
Risen,risen,7843,99090,131827,163897,130634,96,241,89,426,908,0,3059,37,413,75,249
Saints Row 2,saints row 2,8072,72089,105368,179502,93030,275,326,64,665,2562,0,5475,69,955,76,531
Star Trek Online,star trek online,9055,654040,1070700,2266237,1021920,6,6,1,13,71,0,583,24,439,56,15
GTR Evolution,gtr evolution,4144,2400,0,0,2400,2,0,0,2,29,0,1031,19,252,50,1
Silent Hunter III,silent hunter iii,8537,72000,237600,0,192000,2,1,0,3,9,0,156,1,29,84,5
Split/Second,split / second,8976,35231,47864,70931,40745,55,35,11,101,305,0,517,14,68,75,146
TERA,tera,9697,115406,646926,2513353,329903,8,8,3,19,172,0,916,28,1028,65,80
F1 2011,f1 2011,3306,65190,79769,235440,81324,7,4,1,12,79,0,247,2,61,69,25
Singularity,singularity,8585,25503,31788,46341,28604,299,154,27,480,1152,0,1105,11,73,73,374
Captain Morgane and the Golden Turtle,captain morgane and the golden turtle,1517,33881,36790,37543,35121,8,1,6,15,43,0,200,2,19,60,15
Order of War,order of war,6801,68965,0,0,68965,2,0,0,2,8,0,387,6,23,80,1
Off-Road Drive,off-road drive,6712,25200,0,0,25200,2,0,0,2,8,0,214,6,27,0,0
Rocket League,rocket league,27113,16371,80268,211704,100953,133,85,134,352,2113,0,3446,161,1708,79,987
Company of Heroes,company of heroes,1874,69717,91084,302235,83125,119,62,10,191,1008,0,5691,52,1588,81,213
Football Manager 2012,football manager 2012,3630,1496708,1566360,1810390,1709755,11,5,2,18,113,0,72,5,171,78,29
Act of Aggression,act of aggression,29836,40641,0,0,40641,8,0,0,8,21,0,133,3,30,70,8
Defiance,defiance,2414,108000,133201,0,129856,1,7,0,8,99,0,785,20,555,60,29
Project CARS,project cars,20072,120538,238225,397324,160687,25,13,4,42,168,0,1859,41,361,72,69
Overlord,overlord,6848,63608,74991,99100,73633,78,92,32,202,804,0,3571,37,495,71,171
Assassin's Creed,assassin's creed,649,53925,71910,110752,64760,1278,1050,328,2656,9111,8,4044,79,737,69,2491
Football Manager 2011,football manager 2011,3629,1234580,1831382,2493746,1556155,6,6,1,13,58,0,33,2,90,75,17
Worms Reloaded,worms: reloaded,11314,34104,77780,156830,63594,7,11,3,21,225,0,1524,21,456,70,36
Sonic Generations,sonic generations,8763,20293,36867,85161,30436,492,277,138,907,3045,2,4368,60,412,77,858
